01/02/2014,Dodge,Red,A135151,Illinois,5400,N,ASHLAND,AVE,5550,N,ASHLAND,,Broken Down,14-00007547
01/02/2014,Dodge,Silver,R904826,Illinois,4800,N,KIMBALL,AVE,3412,W,LAWRENCE,,Broken Down,14-00007325
01/02/2014,Ford,Black,MDLNCMN,Illinois,3300,E,83RD,ST,2600,E,83RD ST,,Broken Down,14-00007376
01/02/2014,Honda,Gray,S456449,Illinois,1151,S,COLUMBUS,DR,300,N,LOWER WACKER DRIVE,,Accident,14-00007717
01/02/2014,Mazda,Black,N849910,Illinois,3950,S,ARCHER,AVE,4706,S,ARCHER,,Stalled,14-00007273
01/02/2014,Subaru,Gray,D586764,Illinois,2200,N,NB OUTER LAKE SHORE,DR,2605,N,CANNON,,Broken Down,14-00005890
01/02/2014,Toyota,Black,DOXYRNA,Illinois,4300,S,SB OUTER LAKE SHORE,DR,4700,S,CORNELL,,Broken Down,14-00007986
01/02/2014,Toyota,Yellow,2791TX,Illinois,300,W,WASHINGTON,ST,300,E,LOWER WACKER DRIVE,,Accident,14-00008173
01/02/2014,Volvo,Silver,1444072,Illinois,20,N,ABERDEEN,ST,1040,W,JACKSON,,Other,14-00002728
01/03/2014,,,,,2341,S,LATROBE,AVE,,,,,,14-00012183
01/03/2014,,,,,2342,N,LATROBE,AVE,,,,,,14-00012182
01/03/2014,,,,,2342,S,LATROBE,AVE,,,,,,14-00012181
01/03/2014,,,,,3032,N,MAJOR,AVE,,,,,,14-00009884
01/03/2014,,,,,3036,N,MAJOR,AVE,,,,,,14-00009885
01/03/2014,,,,,900,S,HALSTED,ST,,,,,,14-00008275
01/03/2014,Bmw,Black,N185435,Illinois,1600,N,NB OUTER LAKE SHORE,DR,2415,N,CANNON DR,,Stalled,14-00009563
01/03/2014,Buick,Maroon,G218076,Illinois,5716,W,64TH,,5748,W,64TH STREET,,Water Management,14-00008849
01/03/2014,Cadillac,Red,R342269,Illinois,2205,N,NB OUTER LAKE SHORE,DR,2410,N,CANNON,,Broken Down,14-00008240
01/03/2014,Chevrolet,Black,FHN6290,Ohio,900,N,SB OUTER LAKE SHORE,DR,290,E,PEARSON,,Broken Down,14-00010585
01/03/2014,Chevrolet,Blue,K735342,Illinois,5719,W,64TH,,5747,W,64TH STREET,,Water Management,14-00008899
01/03/2014,Chevrolet,Gray,5592089,Illinois,3258,N,MAJOR,AVE,5724,W,SCOOL,,Other,14-00009886
01/03/2014,Chevrolet,Maroon,S386450,Illinois,1400,S,LAKE SHORE,DR,1800,S,LAKESHORE DR,,Broken Down,14-00008878
01/03/2014,Chevrolet,Silver,349XWE,Nevada,2152,W,COULTER,ST,2262,W,COULTER,,Water Management,14-00008277
01/03/2014,Chevrolet,White,A919540,Illinois,5719,W,64TH,,5746,W,64TH STREET,,Water Management,14-00008870
01/03/2014,Chrysler,Beige,A640670,Illinois,3000,N,NB OUTER LAKE SHORE,DR,4810,N,MARINE,,Stalled,14-00011678
01/03/2014,Dodge,Tan,L603438,Illinois,3211,N,MAJOR,AVE,3415,N,MAJOR,,Other,14-00009080
01/03/2014,Dodge,Yellow,9622125,Illinois,2218,N,NARRAGANSETT,AVE,2105,N,NARRAGANSETT,,Water Management,14-00008294
01/03/2014,Ford,Black,1319ND,Illinois,2000,N,NB OUTER LAKE SHORE,DR,2431,N,CANNON,,Accident,14-00012553
